English,Romanian
to,la
and,și
of,de
was,a fost
he,el
you,tu
it,aceasta
in,în
her,a ei
she,ea
that,acea
my,Ale mele
his,a lui
me,pe mine
on,pe
with,cu
at,la
as,la fel de
for,pentru
but,dar
him,-l
said,a spus
be,fi
up,sus
out,afară
look,uite
so,asa de
have,avea
what,ce
not,nu
just,doar
like,ca
go,merge
they,ei
is,este
this,acest
from,din
all,toate
we,noi
were,au fost
back,înapoi
do,do
one,unu
about,despre
know,Cunoaște
if,dacă
when,când
then,apoi
into,în
would,ar
no,Nu
there,Acolo
I'm,Sunt
could,ar putea
don't,Nu
ask,cere
down,jos
time,timp
didn't,nu
want,vrei
eye,ochi
them,lor
over,peste
your,ta
are,sunt
been,a fost
now,acum
an,un
by,de
think,gândi
see,vedea
hand,mână
it's,este
say,Spune
how,Cum
around,în jurul
head,cap
did,făcut
well,bine
before,inainte de
off,OFF
who,OMS
more,Mai mult
even,chiar
turn,rotiți
come,vino
smile,zâmbet
way,cale
can,poate sa
face,față
other,alte
some,niste
right,dreapta
their,al lor
only,numai
walk,mers pe jos
make,face
got,a primit
something,ceva
room,cameră
again,din nou
thing,lucru
after,după
still,încă
thought,gând
door,uşă
here,Aici
too,de asemenea
little,mic
because,deoarece
why,De ce
away,departe
let,lăsa
take,lua
two,Două
start,start
good,bun
where,Unde
never,nu
day,zi
much,mult
tell,spune
wasn't,nu a fost
girl,fată
feel,simți
oh,Oh
you're,Ești
call,apel
talk,vorbi
will,voi
long,lung
than,decât
us,S.U.A
made,făcut
friend,prieten
knew,știa
open,deschis
need,nevoie
first,primul
which,care
people,oameni
that's,asta este
went,a mers
sure,sigur
seem,par
stop,Stop
voice,voce
very,foarte
felt,simțit
took,a luat
our,al nostru
pull,Trage
laugh,a rade
man,om
okay,Bine
close,închide
any,orice
came,a venit
told,spus
love,dragoste
watch,ceas
arm,braţ
anything,orice
I'll,Bolnav
though,deşi
put,a pune
left,stânga
work,muncă
guy,tip
hair,păr
next,Următorul
couldn't,nu a putut
yeah,Da
while,in timp ce
mean,Rău
home,Acasă
few,puțini
saw,a văzut
place,loc
school,şcoală
help,Ajutor
wait,aștepta
late,târziu
year,an
can't,Nu pot
house,casă
happen,întâmpla
last,ultimul
always,mereu
move,mișcare
old,vechi
night,noapte
nod,da din cap
life,viaţă
give,da
sit,sta
stare,priviți
sat,Sat
should,ar trebui să
moment,moment
another,o alta
behind,in spate
side,latură
sound,sunet
once,o singura data
find,găsi
toward,spre
boy,băiat
ever,vreodată
nothing,nimic
front,față
mother,mamă
name,Nume
am,a.m
since,de cand
reply,răspuns
he's,El este
myself,eu insumi
leave,părăsi
bed,pat
car,mașină
use,utilizare
maybe,pot fi
has,are
heard,auzit
answer,Răspuns
minute,minut
yes,da
until,pana cand
both,ambii
found,găsite
end,Sfârşit
small,mic
I'd,Aș fi
word,cuvânt
someone,cineva
same,la fel
enough,suficient
began,a început
run,alerga
bit,pic
sigh,suspin
each,fiecare
those,acestea
almost,aproape
against,împotriva
everything,Tot
most,cel mai
thank,Mulțumesc
wouldn't,nu ar fi
mom,mama
better,mai bine
play,Joaca
I've,Am
own,propriu
every,fiecare
hard,greu
remember,tine minte
three,Trei
stood,a stat
live,Trăi
stand,stand
second,al doilea
sorry,Îmi pare rău
keep,a pastra
finally,in cele din urma
point,punct
gave,a dat
already,deja
actually,de fapt
probably,probabil
himself,se
big,mare
everyone,toata lumea
guess,ghici
lot,lot
step,Etapa
hey,Hei
hear,auzi
light,ușoară
quickly,repede
dad,tata
kiss,pup
black,negru
pick,alege
else,altfel
soon,curând
shoulder,umăr
table,masa
best,Cel mai bun
without,fără
notice,înștiințare
care,îngrijire
phone,telefon
reach,a ajunge
realize,realizează
follow,urma
decide,decide
kind,drăguț
she's,ea e
grab,apuca
he'd,el ar fi
show,spectacol
suddenly,brusc
father,Tată
rest,odihnă
herself,se
grin,grimasă
hour,ora
hope,speranţă
also,de asemenea
body,corp
might,ar putea
hadn't,nu avea
floor,podea
its,este
continue,continua
ran,a fugit
across,peste
hold,ține
cry,strigăt
half,jumătate
pretty,frumos
great,Grozav
course,curs
mouth,gură
class,clasă
kid,copil
wonder,mirare
morning,dimineaţă
least,cel mai puţin
dark,întuneric
slowly,încet
done,Terminat
change,Schimbare
doesn't,nu
together,împreună
yet,inca
question,întrebare
anyway,oricum
bad,rău
blue,albastru
believe,crede
week,săptămână
God,Dumnezeu
lip,buze
Mr.,Domnul.
sleep,dormi
fine,amenda
what's,ceea ce este
family,familie
many,mulți
worry,îngrijorare
roll,rulează
parent,mamă
under,sub
surprise,surprinde
water,apă
onto,pe
we're,Suntem
glance,privire
wall,perete
between,între
seen,văzut
read,citit
window,fereastră
idea,idee
white,alb
push,Apăsaţi
feet,picioare
must,trebuie sa
such,astfel de
seat,scaun
set,a stabilit
please,Vă rog
red,roșu
brother,frate
these,aceste
lean,a se sprijini
part,parte
person,persoană
slightly,puțin
pass,trece
shook,scuturat
fact,fapt
wrong,gresit
gone,plecat
far,departe
hit,lovit
finger,deget
quite,destul de
hate,ură
meet,întâlni
finish,finalizarea
heart,Inima
book,carte
past,trecut
kill,ucide
reason,motiv
anyone,oricine
figure,figura
top,top
along,de -a lungul
world,lume
she'd,ea ar fi
high,înalt
shirt,cămaşă
does,face
today,astăzi
young,tineri
held,ținut
outside,in afara
listen,asculta
whisper,şoaptă
won't,nu
happy,fericit
ground,sol
deep,adânc
drop,cădere brusca
shrug,ridicare din umeri
dress,rochie
fell,căzut
there's,Există
yell,strigăt
breath,suflare
air,aer
tear,rupere
sister,sora
chair,scaun
kitchen,bucătărie
matter,chestiune
hurt,rănit
fall,toamna
wear,purta
isn't,nu este
woman,femeie
eat,mânca
lie,minciună
hell,iad
suppose,presupune
cover,acoperi
couple,cuplu
large,mare
either,fie
five,cinci
leg,picior
jump,a sari
die,a muri
return,întoarcere
able,capabil
bag,sac
alone,singur
shut,închis
stuff,chestie
short,mic de statura
ready,gata
understand,a intelege
kept,ținut
plan,plan
raise,a ridica
street,stradă
different,diferit
problem,problemă
break,pauză
line,linia
early,din timp
cut,a tăia
cold,rece
paper,hârtie
scream,ţipăt
instead,in schimb
stupid,prost
silence,tăcere
tree,copac
caught,prins
ear,ureche
food,alimente
full,deplin
four,Patru
cause,cauză
fuck,La dracu
explain,explica
expect,aştepta
fight,luptă
